Date of Crash,Crash Severity,Crashes
01/24/2016,Fatal,2
01/24/2016,Minor Injury,6
01/24/2016,Major Injury,3
01/24/2016,Property Damage Only,82
01/25/2016,Property Damage Only,238
01/25/2016,Fatal,2
01/25/2016,Possible/Unknown,42
01/25/2016,Minor Injury,22
01/25/2016,Major Injury,6
01/26/2016,Property Damage Only,145
01/26/2016,Minor Injury,17
01/26/2016,Fatal,1
01/26/2016,Possible/Unknown,29
01/26/2016,Major Injury,6
01/27/2016,Minor Injury,9
01/27/2016,Major Injury,2
01/27/2016,Property Damage Only,99
01/27/2016,Possible/Unknown,33
01/28/2016,Possible/Unknown,20
01/28/2016,Minor Injury,7
01/28/2016,Property Damage Only,116
01/28/2016,Major Injury,1
01/29/2016,Possible/Unknown,26
01/29/2016,Property Damage Only,128
01/29/2016,Minor Injury,14
01/29/2016,Fatal,2
01/30/2016,Major Injury,7
01/30/2016,Possible/Unknown,22
01/30/2016,Minor Injury,9
01/30/2016,Property Damage Only,96
01/31/2016,Property Damage Only,71
01/31/2016,Possible/Unknown,19
01/31/2016,Minor Injury,11
02/01/2016,Fatal,2
02/01/2016,Major Injury,2
02/01/2016,Property Damage Only,136
02/01/2016,Possible/Unknown,35
02/01/2016,Minor Injury,16
02/02/2016,Minor Injury,14
02/02/2016,Possible/Unknown,22
02/02/2016,Major Injury,1
02/02/2016,Property Damage Only,179
02/03/2016,Possible/Unknown,48
02/03/2016,Minor Injury,17
02/03/2016,Property Damage Only,206
02/03/2016,Major Injury,3
02/04/2016,Fatal,2
02/04/2016,Property Damage Only,147
02/04/2016,Minor Injury,9
02/04/2016,Major Injury,7
02/04/2016,Possible/Unknown,36
02/05/2016,Minor Injury,9
02/05/2016,Property Damage Only,112
02/05/2016,Possible/Unknown,34
02/06/2016,Property Damage Only,94
02/06/2016,Minor Injury,7
02/06/2016,Possible/Unknown,26
02/07/2016,Major Injury,1
02/07/2016,Possible/Unknown,12
02/07/2016,Property Damage Only,69
02/07/2016,Fatal,1
02/07/2016,Minor Injury,11
02/08/2016,Minor Injury,19
02/08/2016,Possible/Unknown,41
02/08/2016,Major Injury,5
02/08/2016,Property Damage Only,163
02/09/2016,Property Damage Only,115
02/09/2016,Possible/Unknown,28
02/09/2016,Major Injury,1
02/09/2016,Minor Injury,7
02/10/2016,Possible/Unknown,33
02/10/2016,Minor Injury,13
02/10/2016,Property Damage Only,169
02/11/2016,Major Injury,2
02/11/2016,Property Damage Only,136
02/11/2016,Possible/Unknown,30
02/11/2016,Minor Injury,15
02/11/2016,Fatal,1
02/12/2016,Major Injury,1
02/12/2016,Possible/Unknown,38
02/12/2016,Property Damage Only,167
02/12/2016,Minor Injury,15
02/12/2016,Fatal,1
02/13/2016,Major Injury,1
02/13/2016,Fatal,3
02/13/2016,Minor Injury,8
02/13/2016,Property Damage Only,114
02/13/2016,Possible/Unknown,18
02/14/2016,Minor Injury,18
02/14/2016,Major Injury,2
02/14/2016,Possible/Unknown,37
02/14/2016,Property Damage Only,229
02/15/2016,Minor Injury,13
02/15/2016,Property Damage Only,109
02/15/2016,Fatal,1
02/15/2016,Possible/Unknown,22
02/16/2016,Property Damage Only,93
02/16/2016,Major Injury,1
02/16/2016,Possible/Unknown,21
02/16/2016,Fatal,1
02/16/2016,Minor Injury,10
02/17/2016,Major Injury,1
02/17/2016,Minor Injury,8
02/17/2016,Property Damage Only,84
02/17/2016,Possible/Unknown,22
02/18/2016,Major Injury,5
02/18/2016,Possible/Unknown,26
02/18/2016,Property Damage Only,107
02/18/2016,Minor Injury,9
02/19/2016,Property Damage Only,149
02/19/2016,Major Injury,1
02/19/2016,Minor Injury,22
02/19/2016,Possible/Unknown,44
02/20/2016,Property Damage Only,82
02/20/2016,Major Injury,2
02/20/2016,Possible/Unknown,15
02/20/2016,Minor Injury,6
02/21/2016,Major Injury,4
02/21/2016,Possible/Unknown,14
02/21/2016,Minor Injury,10
02/21/2016,Property Damage Only,68
02/22/2016,Major Injury,1
02/22/2016,Property Damage Only,72
02/22/2016,Minor Injury,10
02/22/2016,Possible/Unknown,9
02/23/2016,Minor Injury,9
02/23/2016,Possible/Unknown,15
02/23/2016,Property Damage Only,80
02/23/2016,Fatal,1
02/24/2016,Possible/Unknown,15
02/24/2016,Property Damage Only,79
02/24/2016,Fatal,1
02/24/2016,Minor Injury,5
02/24/2016,Major Injury,1
02/25/2016,Possible/Unknown,23
02/25/2016,Major Injury,5
02/25/2016,Property Damage Only,80
02/25/2016,Fatal,1
02/25/2016,Minor Injury,21
02/26/2016,Fatal,1
02/26/2016,Major Injury,2
02/26/2016,Minor Injury,12
02/26/2016,Property Damage Only,93
02/26/2016,Possible/Unknown,27
02/27/2016,Minor Injury,16
02/27/2016,Property Damage Only,88
02/27/2016,Major Injury,3
02/27/2016,Possible/Unknown,23
02/28/2016,Property Damage Only,62
02/28/2016,Possible/Unknown,22
02/28/2016,Major Injury,3
02/28/2016,Minor Injury,6
02/29/2016,Possible/Unknown,27
02/29/2016,Property Damage Only,80
02/29/2016,Major Injury,4
02/29/2016,Minor Injury,10
03/01/2016,Major Injury,3
03/01/2016,Minor Injury,11
03/01/2016,Fatal,1
03/01/2016,Possible/Unknown,27
03/01/2016,Property Damage Only,149
03/02/2016,Possible/Unknown,25
03/02/2016,Minor Injury,9
03/02/2016,Fatal,1
03/02/2016,Property Damage Only,92
03/03/2016,Minor Injury,1
03/03/2016,Possible/Unknown,17
03/03/2016,Fatal,1
03/03/2016,Property Damage Only,88
03/04/2016,Property Damage Only,101
03/04/2016,Fatal,1
03/04/2016,Minor Injury,9
03/04/2016,Possible/Unknown,26
03/04/2016,Major Injury,1
03/05/2016,Property Damage Only,74
03/05/2016,Possible/Unknown,24
03/05/2016,Minor Injury,13
03/05/2016,Fatal,2
03/05/2016,Major Injury,3
03/06/2016,Major Injury,1
03/06/2016,Fatal,3
03/06/2016,Minor Injury,17
03/06/2016,Property Damage Only,57
03/06/2016,Possible/Unknown,13
03/07/2016,Property Damage Only,69
03/07/2016,Possible/Unknown,19
03/07/2016,Fatal,1
03/07/2016,Minor Injury,9
03/07/2016,Major Injury,1
03/08/2016,Property Damage Only,86
03/08/2016,Minor Injury,16
03/08/2016,Possible/Unknown,14
03/08/2016,Major Injury,3
03/09/2016,Minor Injury,10
03/09/2016,Property Damage Only,86
03/09/2016,Fatal,1
03/09/2016,Major Injury,2
03/09/2016,Possible/Unknown,16
03/10/2016,Possible/Unknown,24
03/10/2016,Property Damage Only,91
03/10/2016,Minor Injury,9
03/11/2016,Major Injury,2
03/11/2016,Property Damage Only,112
03/11/2016,Possible/Unknown,27
03/11/2016,Minor Injury,7
03/12/2016,Minor Injury,8
03/12/2016,Major Injury,4
03/12/2016,Possible/Unknown,23
03/12/2016,Fatal,1
03/12/2016,Property Damage Only,78
03/13/2016,Minor Injury,13
03/13/2016,Major Injury,1
03/13/2016,Property Damage Only,53
03/13/2016,Possible/Unknown,19
03/14/2016,Fatal,2
03/14/2016,Possible/Unknown,19
03/14/2016,Property Damage Only,52
03/14/2016,Minor Injury,13
03/14/2016,Major Injury,2
03/15/2016,Property Damage Only,84
03/15/2016,Minor Injury,4
03/15/2016,Major Injury,3
03/15/2016,Possible/Unknown,30
03/16/2016,Fatal,2
03/16/2016,Property Damage Only,74
03/16/2016,Minor Injury,11
03/16/2016,Major Injury,6
03/16/2016,Possible/Unknown,27
03/17/2016,Property Damage Only,78
03/17/2016,Major Injury,3
03/17/2016,Possible/Unknown,11
03/17/2016,Minor Injury,7
03/18/2016,Major Injury,2
03/18/2016,Minor Injury,9
03/18/2016,Possible/Unknown,29
03/18/2016,Property Damage Only,88
03/19/2016,Major Injury,4
03/19/2016,Property Damage Only,96
03/19/2016,Minor Injury,19
03/19/2016,Possible/Unknown,23
03/20/2016,Possible/Unknown,10
03/20/2016,Minor Injury,10
03/20/2016,Property Damage Only,66
03/20/2016,Major Injury,6
03/21/2016,Major Injury,6
03/21/2016,Possible/Unknown,20
03/21/2016,Minor Injury,9
03/21/2016,Property Damage Only,101
03/21/2016,Fatal,1
03/22/2016,Minor Injury,11
03/22/2016,Fatal,2
03/22/2016,Property Damage Only,72
03/22/2016,Major Injury,2
03/22/2016,Possible/Unknown,17
03/23/2016,Possible/Unknown,15
03/23/2016,Property Damage Only,103
03/23/2016,Major Injury,3
03/23/2016,Minor Injury,10
03/24/2016,Possible/Unknown,41
03/24/2016,Minor Injury,13
03/24/2016,Property Damage Only,129
03/24/2016,Major Injury,3
03/25/2016,Minor Injury,13
03/25/2016,Major Injury,4
03/25/2016,Fatal,1
03/25/2016,Property Damage Only,114
03/25/2016,Possible/Unknown,28
03/26/2016,Minor Injury,10
03/26/2016,Possible/Unknown,18
03/26/2016,Major Injury,1
03/26/2016,Fatal,1
03/26/2016,Property Damage Only,75
03/27/2016,Property Damage Only,48
03/27/2016,Minor Injury,7
03/27/2016,Major Injury,2
03/27/2016,Possible/Unknown,15
03/28/2016,Minor Injury,12
03/28/2016,Property Damage Only,87
03/28/2016,Possible/Unknown,28
03/28/2016,Major Injury,5
03/29/2016,Property Damage Only,85
03/29/2016,Possible/Unknown,18
03/29/2016,Minor Injury,8
03/29/2016,Major Injury,2
03/30/2016,Possible/Unknown,19
03/30/2016,Property Damage Only,76
03/30/2016,Minor Injury,13
03/30/2016,Major Injury,1
03/31/2016,Possible/Unknown,25
03/31/2016,Property Damage Only,90
03/31/2016,Minor Injury,8
03/31/2016,Fatal,1
04/01/2016,Fatal,1
04/01/2016,Major Injury,3
04/01/2016,Possible/Unknown,28
04/01/2016,Minor Injury,13
04/01/2016,Property Damage Only,109
04/02/2016,Property Damage Only,79
04/02/2016,Possible/Unknown,21
04/02/2016,Minor Injury,15
04/02/2016,Major Injury,5
04/02/2016,Fatal,1
04/03/2016,Possible/Unknown,12
04/03/2016,Minor Injury,10
04/03/2016,Major Injury,5
04/03/2016,Fatal,3
04/03/2016,Property Damage Only,73
04/04/2016,Property Damage Only,84
04/04/2016,Fatal,2
04/04/2016,Minor Injury,12
04/04/2016,Major Injury,1
04/04/2016,Possible/Unknown,22
04/05/2016,Major Injury,3
04/05/2016,Possible/Unknown,20
04/05/2016,Property Damage Only,88
04/05/2016,Minor Injury,13
04/06/2016,Minor Injury,14
04/06/2016,Major Injury,1
04/06/2016,Property Damage Only,84
04/06/2016,Possible/Unknown,21
04/06/2016,Fatal,2
04/07/2016,Property Damage Only,71
04/07/2016,Minor Injury,14
04/07/2016,Possible/Unknown,23
04/07/2016,Major Injury,2
04/08/2016,Property Damage Only,97
04/08/2016,Minor Injury,9
04/08/2016,Possible/Unknown,34
04/08/2016,Major Injury,7
04/09/2016,Major Injury,2
04/09/2016,Possible/Unknown,23
04/09/2016,Minor Injury,9
04/09/2016,Property Damage Only,88
04/09/2016,Fatal,1
04/10/2016,Possible/Unknown,17
04/10/2016,Property Damage Only,49
04/10/2016,Major Injury,1
04/10/2016,Minor Injury,12
04/10/2016,Fatal,1
04/11/2016,Minor Injury,15
04/11/2016,Major Injury,4
04/11/2016,Fatal,1
04/11/2016,Possible/Unknown,24
04/11/2016,Property Damage Only,85
04/12/2016,Possible/Unknown,18
04/12/2016,Major Injury,5
04/12/2016,Minor Injury,13
04/12/2016,Property Damage Only,86
04/13/2016,Minor Injury,13
04/13/2016,Major Injury,3
04/13/2016,Possible/Unknown,24
04/13/2016,Fatal,2
04/13/2016,Property Damage Only,86
04/14/2016,Minor Injury,11
04/14/2016,Property Damage Only,96
04/14/2016,Possible/Unknown,24
04/14/2016,Major Injury,3
04/14/2016,Fatal,1
04/15/2016,Major Injury,5
04/15/2016,Property Damage Only,97
04/15/2016,Minor Injury,22
04/15/2016,Possible/Unknown,35
04/16/2016,Major Injury,5
04/16/2016,Minor Injury,24
04/16/2016,Property Damage Only,92
04/16/2016,Possible/Unknown,18
04/17/2016,Fatal,1
04/17/2016,Possible/Unknown,15
04/17/2016,Minor Injury,14
04/17/2016,Property Damage Only,58
04/17/2016,Major Injury,2
04/18/2016,Possible/Unknown,21
04/18/2016,Major Injury,3
04/18/2016,Property Damage Only,111
04/18/2016,Fatal,1
04/18/2016,Minor Injury,12
04/19/2016,Property Damage Only,84
04/19/2016,Possible/Unknown,20
04/19/2016,Minor Injury,11
04/19/2016,Major Injury,5
04/19/2016,Fatal,2
04/20/2016,Possible/Unknown,29
04/20/2016,Major Injury,4
04/20/2016,Minor Injury,11
04/20/2016,Property Damage Only,94
04/21/2016,Possible/Unknown,22
04/21/2016,Major Injury,3
04/21/2016,Minor Injury,16
04/21/2016,Property Damage Only,113
04/21/2016,Fatal,1
04/22/2016,Fatal,2
04/22/2016,Major Injury,3
04/22/2016,Property Damage Only,111
04/22/2016,Minor Injury,13
04/22/2016,Possible/Unknown,27
04/23/2016,Fatal,3
04/23/2016,Property Damage Only,78
04/23/2016,Possible/Unknown,27
04/23/2016,Major Injury,6
04/23/2016,Minor Injury,17
04/24/2016,Possible/Unknown,17
04/24/2016,Minor Injury,9
04/24/2016,Property Damage Only,52
04/24/2016,Major Injury,4
04/25/2016,Minor Injury,17
04/25/2016,Major Injury,4
04/25/2016,Fatal,2
04/25/2016,Possible/Unknown,36
04/25/2016,Property Damage Only,107
04/26/2016,Minor Injury,10
04/26/2016,Possible/Unknown,31
04/26/2016,Property Damage Only,99
04/26/2016,Fatal,1
04/27/2016,Possible/Unknown,22
04/27/2016,Fatal,2
04/27/2016,Property Damage Only,96
04/27/2016,Minor Injury,15
04/27/2016,Major Injury,2
04/28/2016,Major Injury,4
04/28/2016,Minor Injury,20
04/28/2016,Property Damage Only,95
04/28/2016,Possible/Unknown,27
04/29/2016,Property Damage Only,102
04/29/2016,Possible/Unknown,29
04/29/2016,Major Injury,6
04/29/2016,Minor Injury,16
04/30/2016,Minor Injury,11
04/30/2016,Major Injury,3
04/30/2016,Property Damage Only,108
04/30/2016,Fatal,1
04/30/2016,Possible/Unknown,23
05/01/2016,Possible/Unknown,16
05/01/2016,Major Injury,2
05/01/2016,Fatal,2
05/01/2016,Minor Injury,10
05/01/2016,Property Damage Only,80
05/02/2016,Possible/Unknown,31
05/02/2016,Major Injury,2
05/02/2016,Minor Injury,7
05/02/2016,Property Damage Only,87
05/03/2016,Fatal,1
05/03/2016,Major Injury,3
05/03/2016,Possible/Unknown,23
05/03/2016,Minor Injury,13
05/03/2016,Property Damage Only,98
05/04/2016,Fatal,1
05/04/2016,Major Injury,1
05/04/2016,Minor Injury,19
05/04/2016,Property Damage Only,95
05/04/2016,Possible/Unknown,31
05/05/2016,Property Damage Only,99
05/05/2016,Major Injury,6
05/05/2016,Minor Injury,15
05/05/2016,Possible/Unknown,36
05/05/2016,Fatal,1
05/06/2016,Possible/Unknown,38
05/06/2016,Property Damage Only,126
05/06/2016,Major Injury,5
05/06/2016,Fatal,1
05/06/2016,Minor Injury,31
05/07/2016,Major Injury,5
05/07/2016,Fatal,5
05/07/2016,Minor Injury,23
05/07/2016,Possible/Unknown,21
05/07/2016,Property Damage Only,81
05/08/2016,Possible/Unknown,17
05/08/2016,Major Injury,1
05/08/2016,Minor Injury,17
05/08/2016,Fatal,1
05/08/2016,Property Damage Only,64
05/09/2016,Possible/Unknown,32
05/09/2016,Minor Injury,8
05/09/2016,Property Damage Only,91
05/09/2016,Major Injury,3
05/09/2016,Fatal,1
05/10/2016,Minor Injury,17
05/10/2016,Major Injury,4
05/10/2016,Fatal,1
05/10/2016,Possible/Unknown,24
05/10/2016,Property Damage Only,101
05/11/2016,Minor Injury,7
05/11/2016,Possible/Unknown,29
05/11/2016,Property Damage Only,94
05/11/2016,Major Injury,3
05/12/2016,Minor Injury,10
05/12/2016,Major Injury,3
05/12/2016,Property Damage Only,98
05/12/2016,Possible/Unknown,29
05/12/2016,Fatal,2
05/13/2016,Major Injury,4
05/13/2016,Minor Injury,20
05/13/2016,Possible/Unknown,32
05/13/2016,Property Damage Only,128
05/14/2016,Minor Injury,10
05/14/2016,Possible/Unknown,20
05/14/2016,Major Injury,8
05/14/2016,Property Damage Only,88
05/15/2016,Possible/Unknown,21
05/15/2016,Minor Injury,8
05/15/2016,Fatal,1
05/15/2016,Property Damage Only,87
05/15/2016,Major Injury,3
05/16/2016,Property Damage Only,95
05/16/2016,Major Injury,4
05/16/2016,Possible/Unknown,22
05/16/2016,Minor Injury,5
05/16/2016,Fatal,1
05/17/2016,Minor Injury,10
05/17/2016,Possible/Unknown,26
05/17/2016,Major Injury,4
05/17/2016,Property Damage Only,113
05/18/2016,Major Injury,4
05/18/2016,Property Damage Only,75
05/18/2016,Minor Injury,15
05/18/2016,Possible/Unknown,31
05/18/2016,Fatal,2
05/19/2016,Minor Injury,26
05/19/2016,Fatal,1
05/19/2016,Major Injury,8
05/19/2016,Property Damage Only,122
05/19/2016,Possible/Unknown,30
05/20/2016,Property Damage Only,114
05/20/2016,Minor Injury,23
05/20/2016,Major Injury,5
05/20/2016,Possible/Unknown,42
05/20/2016,Fatal,3
05/21/2016,Minor Injury,16
05/21/2016,Fatal,2
05/21/2016,Possible/Unknown,27
05/21/2016,Property Damage Only,111
05/21/2016,Major Injury,9
05/22/2016,Property Damage Only,81
05/22/2016,Major Injury,3
05/22/2016,Minor Injury,19
05/22/2016,Possible/Unknown,24
05/23/2016,Major Injury,3
05/23/2016,Fatal,1
05/23/2016,Property Damage Only,121
05/23/2016,Minor Injury,9
05/23/2016,Possible/Unknown,28
05/24/2016,Minor Injury,17
05/24/2016,Fatal,1
05/24/2016,Major Injury,5
05/24/2016,Property Damage Only,101
05/24/2016,Possible/Unknown,26
05/25/2016,Minor Injury,12
05/25/2016,Possible/Unknown,31
05/25/2016,Property Damage Only,106
05/25/2016,Major Injury,1
05/25/2016,Fatal,2
05/26/2016,Fatal,2
05/26/2016,Major Injury,3
05/26/2016,Minor Injury,13
05/26/2016,Possible/Unknown,35
05/26/2016,Property Damage Only,99
05/27/2016,Major Injury,3
05/27/2016,Minor Injury,18
05/27/2016,Possible/Unknown,43
05/27/2016,Fatal,1
05/27/2016,Property Damage Only,139
05/28/2016,Possible/Unknown,27
05/28/2016,Property Damage Only,109
05/28/2016,Major Injury,8
05/28/2016,Minor Injury,12
05/28/2016,Fatal,1
05/29/2016,Possible/Unknown,22
05/29/2016,Property Damage Only,96
05/29/2016,Minor Injury,14
05/29/2016,Major Injury,8
05/30/2016,Possible/Unknown,17
05/30/2016,Property Damage Only,64
05/30/2016,Minor Injury,16
05/30/2016,Major Injury,4
05/31/2016,Fatal,1
05/31/2016,Minor Injury,22
05/31/2016,Major Injury,5
05/31/2016,Property Damage Only,112
05/31/2016,Possible/Unknown,24
06/01/2016,Minor Injury,14
06/01/2016,Possible/Unknown,23
06/01/2016,Property Damage Only,122
06/01/2016,Major Injury,3
06/01/2016,Fatal,1
06/02/2016,Possible/Unknown,27
06/02/2016,Major Injury,5
06/02/2016,Property Damage Only,107
06/02/2016,Minor Injury,19
06/03/2016,Minor Injury,22
06/03/2016,Major Injury,5
06/03/2016,Property Damage Only,101
06/03/2016,Possible/Unknown,33
06/04/2016,Possible/Unknown,23
06/04/2016,Fatal,1
06/04/2016,Minor Injury,12
06/04/2016,Major Injury,5
06/04/2016,Property Damage Only,114
06/05/2016,Major Injury,8
06/05/2016,Minor Injury,17
06/05/2016,Property Damage Only,73
06/05/2016,Possible/Unknown,23
06/06/2016,Minor Injury,17
06/06/2016,Property Damage Only,97
06/06/2016,Major Injury,4
06/06/2016,Possible/Unknown,33
06/07/2016,Property Damage Only,102
06/07/2016,Fatal,1
06/07/2016,Major Injury,3
06/07/2016,Minor Injury,14
06/07/2016,Possible/Unknown,26
06/08/2016,Minor Injury,19
06/08/2016,Possible/Unknown,20
06/08/2016,Major Injury,5
06/08/2016,Property Damage Only,100
06/08/2016,Fatal,2
06/09/2016,Fatal,1
06/09/2016,Minor Injury,15
06/09/2016,Property Damage Only,130
06/09/2016,Possible/Unknown,25
06/09/2016,Major Injury,2
06/10/2016,Possible/Unknown,20
06/10/2016,Major Injury,7
06/10/2016,Property Damage Only,147
06/10/2016,Fatal,1
06/10/2016,Minor Injury,23
06/11/2016,Major Injury,4
06/11/2016,Minor Injury,19
06/11/2016,Possible/Unknown,20
06/11/2016,Fatal,2
06/11/2016,Property Damage Only,89
06/12/2016,Possible/Unknown,23
06/12/2016,Fatal,1
06/12/2016,Major Injury,5
06/12/2016,Minor Injury,14
06/12/2016,Property Damage Only,77
06/13/2016,Possible/Unknown,26
06/13/2016,Major Injury,2
06/13/2016,Property Damage Only,103
06/13/2016,Minor Injury,16
06/14/2016,Possible/Unknown,21
06/14/2016,Major Injury,5
06/14/2016,Property Damage Only,111
06/14/2016,Fatal,1
06/14/2016,Minor Injury,23
06/15/2016,Minor Injury,19
06/15/2016,Possible/Unknown,29
06/15/2016,Property Damage Only,100
06/15/2016,Fatal,1
06/15/2016,Major Injury,4
06/16/2016,Property Damage Only,119
06/16/2016,Minor Injury,19
06/16/2016,Possible/Unknown,30
06/16/2016,Major Injury,6
06/16/2016,Fatal,1
06/17/2016,Fatal,2
06/17/2016,Minor Injury,20
06/17/2016,Major Injury,3
06/17/2016,Property Damage Only,112
06/17/2016,Possible/Unknown,31
06/18/2016,Possible/Unknown,23
06/18/2016,Fatal,1
06/18/2016,Major Injury,9
06/18/2016,Minor Injury,29
06/18/2016,Property Damage Only,81
06/19/2016,Fatal,2
06/19/2016,Possible/Unknown,19
06/19/2016,Property Damage Only,83
06/19/2016,Major Injury,8
06/19/2016,Minor Injury,16
06/20/2016,Fatal,2
06/20/2016,Minor Injury,18
06/20/2016,Possible/Unknown,28
06/20/2016,Property Damage Only,114
06/20/2016,Major Injury,1
06/21/2016,Major Injury,2
06/21/2016,Fatal,1
06/21/2016,Property Damage Only,97
06/21/2016,Possible/Unknown,21
06/21/2016,Minor Injury,15
06/22/2016,Possible/Unknown,30
06/22/2016,Major Injury,2
06/22/2016,Property Damage Only,98
06/22/2016,Minor Injury,14
06/23/2016,Fatal,1
06/23/2016,Minor Injury,17
06/23/2016,Property Damage Only,98
06/23/2016,Major Injury,1
06/23/2016,Possible/Unknown,23
06/24/2016,Fatal,3
06/24/2016,Major Injury,6
06/24/2016,Minor Injury,14
06/24/2016,Possible/Unknown,27
06/24/2016,Property Damage Only,132
06/25/2016,Fatal,4
06/25/2016,Possible/Unknown,22
06/25/2016,Minor Injury,22
06/25/2016,Property Damage Only,111
06/25/2016,Major Injury,7
06/26/2016,Fatal,1
06/26/2016,Minor Injury,20
06/26/2016,Possible/Unknown,24
06/26/2016,Major Injury,1
06/26/2016,Property Damage Only,89
06/27/2016,Possible/Unknown,25
06/27/2016,Property Damage Only,99
06/27/2016,Major Injury,1
06/27/2016,Fatal,1
06/27/2016,Minor Injury,15
06/28/2016,Property Damage Only,116
06/28/2016,Minor Injury,18
06/28/2016,Major Injury,7
06/28/2016,Fatal,2
06/28/2016,Possible/Unknown,28
06/29/2016,Fatal,1
06/29/2016,Possible/Unknown,27
06/29/2016,Major Injury,6
06/29/2016,Minor Injury,21
06/29/2016,Property Damage Only,105
06/30/2016,Fatal,2
06/30/2016,Possible/Unknown,22
06/30/2016,Property Damage Only,117
06/30/2016,Minor Injury,14
06/30/2016,Major Injury,3
07/01/2016,Property Damage Only,135
07/01/2016,Possible/Unknown,27
07/01/2016,Minor Injury,18
07/01/2016,Major Injury,7
07/02/2016,Major Injury,3
07/02/2016,Property Damage Only,73
07/02/2016,Possible/Unknown,14
07/02/2016,Minor Injury,18
07/03/2016,Minor Injury,14
07/03/2016,Possible/Unknown,16
07/03/2016,Fatal,1
07/03/2016,Property Damage Only,62
07/03/2016,Major Injury,6
07/04/2016,Possible/Unknown,21
07/04/2016,Minor Injury,18
07/04/2016,Major Injury,2
07/04/2016,Property Damage Only,76
07/05/2016,Minor Injury,17
07/05/2016,Fatal,2
07/05/2016,Major Injury,1
07/05/2016,Property Damage Only,93
07/05/2016,Possible/Unknown,33
07/06/2016,Possible/Unknown,20
07/06/2016,Major Injury,1
07/06/2016,Minor Injury,11
07/06/2016,Property Damage Only,95
07/07/2016,Fatal,1
07/07/2016,Property Damage Only,84
07/07/2016,Major Injury,7
07/07/2016,Possible/Unknown,35
07/07/2016,Minor Injury,16
07/08/2016,Property Damage Only,102
07/08/2016,Minor Injury,22
07/08/2016,Possible/Unknown,24
07/08/2016,Major Injury,4
07/08/2016,Fatal,1
07/09/2016,Possible/Unknown,27
07/09/2016,Property Damage Only,63
07/09/2016,Major Injury,6
07/09/2016,Minor Injury,12
07/09/2016,Fatal,2
07/10/2016,Major Injury,2
07/10/2016,Property Damage Only,64
07/10/2016,Possible/Unknown,16
07/10/2016,Minor Injury,14
07/11/2016,Property Damage Only,100
07/11/2016,Minor Injury,14
07/11/2016,Fatal,3
07/11/2016,Possible/Unknown,17
07/11/2016,Major Injury,4
07/12/2016,Possible/Unknown,18
07/12/2016,Major Injury,2
07/12/2016,Minor Injury,13
07/12/2016,Property Damage Only,91
07/13/2016,Possible/Unknown,36
07/13/2016,Minor Injury,16
07/13/2016,Property Damage Only,95
07/13/2016,Major Injury,5
07/14/2016,Property Damage Only,119
07/14/2016,Major Injury,7
07/14/2016,Possible/Unknown,28
07/14/2016,Minor Injury,18
07/15/2016,Minor Injury,15
07/15/2016,Property Damage Only,101
07/15/2016,Major Injury,6
07/15/2016,Fatal,3
07/15/2016,Possible/Unknown,24
07/16/2016,Possible/Unknown,20
07/16/2016,Property Damage Only,85
07/16/2016,Minor Injury,10
07/16/2016,Major Injury,10
07/16/2016,Fatal,1
07/17/2016,Minor Injury,7
07/17/2016,Major Injury,3
07/17/2016,Fatal,1
07/17/2016,Property Damage Only,66
07/17/2016,Possible/Unknown,17
07/18/2016,Possible/Unknown,32
07/18/2016,Major Injury,2
07/18/2016,Minor Injury,7
07/18/2016,Property Damage Only,107
07/19/2016,Fatal,1
07/19/2016,Major Injury,2
07/19/2016,Property Damage Only,94
07/19/2016,Possible/Unknown,24
07/19/2016,Minor Injury,9
07/20/2016,Possible/Unknown,24
07/20/2016,Minor Injury,20
07/20/2016,Major Injury,3
07/20/2016,Property Damage Only,98
07/21/2016,Possible/Unknown,22
07/21/2016,Property Damage Only,95
07/21/2016,Minor Injury,9
07/21/2016,Major Injury,5
07/22/2016,Major Injury,7
07/22/2016,Minor Injury,13
07/22/2016,Possible/Unknown,23
07/22/2016,Property Damage Only,92
07/22/2016,Fatal,2
07/23/2016,Major Injury,2
07/23/2016,Minor Injury,18
07/23/2016,Property Damage Only,80
07/23/2016,Fatal,1
07/23/2016,Possible/Unknown,23
07/24/2016,Possible/Unknown,26
07/24/2016,Property Damage Only,57
07/24/2016,Minor Injury,6
07/24/2016,Major Injury,4
07/24/2016,Fatal,2
07/25/2016,Property Damage Only,89
07/25/2016,Major Injury,1
07/25/2016,Possible/Unknown,18
07/25/2016,Fatal,1
07/25/2016,Minor Injury,29
07/26/2016,Possible/Unknown,22
07/26/2016,Fatal,1
07/26/2016,Minor Injury,6
07/26/2016,Property Damage Only,87
07/26/2016,Major Injury,1
07/27/2016,Possible/Unknown,26
07/27/2016,Minor Injury,13
07/27/2016,Fatal,1
07/27/2016,Property Damage Only,101
07/27/2016,Major Injury,2
07/28/2016,Possible/Unknown,21
07/28/2016,Property Damage Only,87
07/28/2016,Minor Injury,21
07/28/2016,Major Injury,2
07/29/2016,Minor Injury,12
07/29/2016,Property Damage Only,97
07/29/2016,Possible/Unknown,18
07/29/2016,Fatal,1
07/29/2016,Major Injury,5
07/30/2016,Minor Injury,11
07/30/2016,Possible/Unknown,25
07/30/2016,Fatal,3
07/30/2016,Property Damage Only,80
07/30/2016,Major Injury,6
07/31/2016,Fatal,2
07/31/2016,Possible/Unknown,19
07/31/2016,Minor Injury,13
07/31/2016,Major Injury,3
